"melid";"performer";"title";"solopart";"chorus_count";"instrument";"style";"tonalitytype";"genre";"rhythmfeel";"avgtempo";"tempoclass";"key";"signature";"recordingdate";"composer";"form";"template";"label";"releasedate";"numnotes";"duration";"recordingyear"
363;"Phil Woods";"On a Slow Boat to China";1;4;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";242,6;"UP";"Bb-maj";"4/4";"1955-11-25";"Frank Loesser";"A16B16";"";"Membran Music Ltd.";2004;847;129,1;1955
364;"Phil Woods";"Strollin' with Pam";1;7;"as";"BEBOP";"BLUES";"ORIGINAL";"SWING";138,9;"MEDIUM";"Eb-maj";"4/4";"1955-11-25";"";"A12";"Blues";"Membran Music Ltd";2004;621;147,3;1955
365;"Red Garland";"Oleo";1;2;"p";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";264,9;"UP";"Bb-maj";"4/4";"1956-10-26";"Sonny Rollins";"A8A8B8A8";"I Got Rhythm";"Prestige";1958;380;59,4;1956
366;"Rex Stewart";"Perdido";1;2;"cor";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";177,8;"MEDIUM UP";"Bb-maj";"4/4";"1950";"Tizol";"A8A8B8A8";"";"Membran Music Ltd.";2005;277;87;1950
367;"Roy Eldridge";"Body and Soul";1;1;"tp";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";107;"MEDIUM SLOW";"Db-maj";"4/4";"1938-11-11";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Classic Records";1994;313;76,7;1938
368;"Roy Eldridge";"King David";1;2;"tp";"SWING";"BLUES";"ORIGINAL";"SWING";149,8;"MEDIUM UP";"Bb-maj";"4/4";"1950-06-08";"Roy Eldridge";"A12";"Blues";"Membran Music Ltd.";2005;115;38;1950
369;"Roy Eldridge";"St. Louis Blues";1;1;"tp";"SWING";"BLUES";"GREAT AMERICAN SONGBOOK";"SWING";361,3;"UP";"G-maj";"4/4";"1944-10-13";"W.C. Handy";"A12A12B8A12";"Blues";"History - (Trumpets of Jericho)s";NA;275;34,6;1944
370;"Roy Eldridge";"The Gasser";1;2;"tp";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";231,3;"UP";"Ab-maj";"4/4";"1943-11-16";"Eldridge";"A8B8";"";"History - (Trumpets of Jericho)s";NA;418;71,1;1943
371;"Roy Eldridge";"The Gasser";2;2;"tp";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";237,7;"UP";"Ab-maj";"4/4";"1943-11-16";"Eldridge";"A8B8";"";"History - (Trumpets of Jericho)s";NA;305;66,1;1943
372;"Roy Eldridge";"Undecided";1;2;"tp";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";243,6;"UP";"Bb-maj";"4/4";"1950-06-08";"Robbin-Shavers";"A16B8A8";"";"Membran Music Ltd.";2005;322;63,2;1950
373;"Sidney Bechet";"Baby Won't You Please Come Home";1;1;"ss";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";207;"UP";"Bb-maj";"4/4";"1941-04-02";"Warfield, Wiliams";"A8B8";"";"Trumpets of Jericho Ltd.";NA;100;21,2;1941
374;"Sidney Bechet";"I'm Coming Virginia";1;1;"ss";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";192,8;"UP";"F-maj";"4/4";"1941-09-13";"Heywood";"A8B8C8";"";"Trumpets of Jericho Ltd.";NA;105;29,7;1941
375;"Sidney Bechet";"Limehouse Blues";1;1;"ss";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";273,6;"UP";"Ab-maj";"4/4";"1941-09-13";"Braham, Furber";"A16B16C16D16";"";"Trumpets of Jericho Ltd.";NA;231;31,4;1941
376;"Sidney Bechet";"Really the Blues";1;2;"ss";"TRADITIONAL";"BLUES";"ORIGINAL";"TWOBEAT";70,6;"SLOW";"Bb-maj";"4/4";"1938-11-28";"Mezzrow";"A12";"Blues";"Trumpets of Jericho Ltd.";NA;254;81,3;1938
377;"Sidney Bechet";"Summertime";1;4;"ss";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";84,2;"MEDIUM SLOW";"G-min";"4/4";"1938-06-08";"Gershwin";"A8B8";"";"Trumpets of Jericho Ltd.";NA;388;189,1;1938
378;"Sonny Rollins";"Airegin";1;3;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";242,6;"UP";"Ab-maj";"4/4";"1954-06-29";"Sonny Rollins";"A8B12A8C8";"";"Prestige";1980;552;105,3;1954
379;"Sonny Rollins";"Blue Seven";1;5;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";134,6;"MEDIUM";"Bb-maj";"4/4";"1956-06-22";"Sonny Rollins";"A12";"Blues";"CD Company Italy";1990;353;109,7;1956
380;"Sonny Rollins";"Blue Seven";2;2;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";137,6;"MEDIUM";"Bb-maj";"4/4";"1956-06-22";"Sonny Rollins";"A12";"Blues";"CD Company Italy";1990;135;38,4;1956
381;"Sonny Rollins";"Blue Seven";3;2;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";133,3;"MEDIUM";"Bb-maj";"4/4";"1956-06-22";"Sonny Rollins";"A12";"Blues";"CD Company Italy";1990;178;46,1;1956
382;"Sonny Rollins";"I'll Remember April";1;2;"ts";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";294;"UP";"G-maj";"4/4";"1956-02-16";"Raye/DePaul/Johnston";"A16B16A16";"";"EmArcy";1991;461;77,4;1956
383;"Sonny Rollins";"Playin' in the Yard";1;1;"ts";"FUSION";"FUNCTIONAL";"ORIGINAL";"FUNK";155,2;"MEDIUM UP";"G-maj";"4/4";"1972";"";"A16";"";"Milestone";1972;266;75,2;1972
384;"Sonny Rollins";"Playin' in the Yard";2;1;"ts";"FUSION";"FUNCTIONAL";"ORIGINAL";"FUNK";159,4;"MEDIUM UP";"G-maj";"4/4";"1972";"";"A16";"";"Milestone";1972;164;54,5;1972
385;"Sonny Rollins";"St. Thomas";1;5;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"LATIN";207;"UP";"C-maj";"4/4";"1956-06-22";"Sonny Rollins";"A16";"";"Prestige";1987;435;92,5;1956
386;"Sonny Rollins";"St. Thomas";2;4;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"LATIN";224,1;"UP";"C-maj";"4/4";"1956-06-22";"Sonny Rollins";"A16";"";"Prestige";1987;366;69;1956
387;"Sonny Rollins";"Tenor Madness";1;8;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";175,6;"MEDIUM UP";"Bb-maj";"4/4";"1956-06-22";"Sonny Rollins";"A12";"Blues";"CD Company Italy";1990;507;130,6;1956
388;"Sonny Rollins";"The Everywhere Calypso";1;13;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"LATIN";192,6;"UP";"C-maj";"4/4";"1972";"";"A12";"";"Milestone";1972;601;131,4;1972
389;"Sonny Rollins";"The Everywhere Calypso";2;19;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"LATIN";197,2;"UP";"C-maj";"4/4";"1972";"";"A12";"";"Milestone";1972;949;186,3;1972
390;"Sonny Rollins";"Vierd Blues";1;6;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";114,4;"MEDIUM";"Bb-maj";"4/4";"1956-03-16";"";"A12";"Blues";"Prestige";1992;432;148,8;1956
391;"Sonny Stitt";"Blue Mode";1;1;"ts";"BEBOP";"BLUES";"ORIGINAL";"SWING";60,7;"SLOW";"Bb-maj";"4/4";"1949-10-17";"J.J. Johnson";"A12";"Blues";"Membran Music Ltd.";2005;353;94,1;1949
392;"Sonny Stitt";"Blues in Be-Bop";1;2;"as";"BEBOP";"BLUES";"ORIGINAL";"SWING";185,8;"UP";"Eb-maj";"4/4";"1946-09-04";"McKinley/Dorham";"A12";"Blues";"Membran Music Ltd.";2005;127;29;1946
393;"Sonny Stitt";"Body and Soul";1;1;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";67,7;"SLOW";"Db-maj";"4/4";"1948-06-01";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Membran Music Ltd.";2005;469;123,5;1948
394;"Sonny Stitt";"Elora";1;1;"ts";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";192,7;"UP";"Bb-maj";"4/4";"1949-10-17";"J.J. Johnson";"A8A8B8C8";"";"Membran Music Ltd.";2005;226;38,7;1949
395;"Sonny Stitt";"Good Kick";1;3;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";173,4;"MEDIUM UP";"F-maj";"4/4";"1946-09-04";"Stitt";"A8A8B8A8";"";"Membran Music Ltd.";2005;235;42,7;1946
396;"Sonny Stitt";"Teapot";1;2;"ts";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";167,9;"MEDIUM UP";"F-maj";"4/4";"1949-10-17";"J.J. Johnson";"A8B8";"";"Membran Music Ltd.";2005;349;49,3;1949
397;"Stan Getz";"Blues in the Closet";1;16;"ts";"COOL";"BLUES";"ORIGINAL";"SWING";242,5;"UP";"Bb-maj";"4/4";"1957-09-29";"Pettiford";"A12";"Blues";"Polydor K.K";1995;905;187,7;1957
398;"Stan Getz";"Body and Soul";1;2;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";63,4;"SLOW";"Db-maj";"4/4";"1964";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Verve Records";1992;571;180,1;1964
399;"Stan Getz";"Crazy Rhythm";1;8;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";287,9;"UP";"F-maj";"4/4";"1957-09-29";"Meyer, Kahn, Caesar";"A8A8B8A8";"";"Polydor K.K";1995;1233;212,7;1957
400;"Stan Getz";"I'm Glad There Is You";1;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";67;"SLOW";"C#-maj";"4/4";"1957-10-10";"Paul Madeira, Jimmy Dorsey";"A8A8";"";"Universal";2006;187;62,9;1957
401;"Stan Getz";"Insensatez";1;1;"ts";"COOL";"FUNCTIONAL";"ORIGINAL";"LATIN";128,2;"MEDIUM";"A-min";"4/4";"1963-02-08";"Antonio Carlos Jobim, Vinicius De Moraes";"A8B8C8D8";"";"Universal";2006;155;61,2;1963
402;"Stan Getz";"My Funny Valentine";1;3;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";130,7;"MEDIUM";"F-min";"4/4";"1957-09-29";"Rodgers, Hart";"A8A8B8C12";"";"Polydor K.K";1995;654;199,1;1957
403;"Steve Coleman";"Cross-Fade";1;1;"as";"FUSION";"FREE";"ORIGINAL";"FUNK";144,8;"MEDIUM UP";"";"9/4";"1990-12-01";"Steve Coleman";"A4";"";"Novus";1991;129;44,8;1990
404;"Steve Coleman";"Cross-Fade";2;1;"as";"FUSION";"FREE";"ORIGINAL";"FUNK";145,9;"MEDIUM UP";"";"9/4";"1990-12-01";"Steve Coleman";"A4";"";"Novus";1991;78;14,8;1990
405;"Steve Coleman";"Double Vision";1;1;"ss";"POSTBOP";"COLOR";"ORIGINAL";"SWING";242,2;"UP";"";"4/4";"1985-06-06";"Dave Holland";"open";"";"ECM";1985;979;184,5;1985
406;"Steve Coleman";"Pass It On";1;2;"as";"FUSION";"MODAL";"ORIGINAL";"FUNK";104,9;"MEDIUM SLOW";"";"4/4";"1991-04-29";"Dave Holland";"A4A4B4A8";"";"Novus";1992;325;76,8;1991
407;"Steve Coleman";"Processional";1;3;"as";"POSTBOP";"COLOR";"ORIGINAL";"LATIN";103,9;"MEDIUM SLOW";"F-min";"5/4";"1989-09-01";"Dave Holland";"A12";"";"ECM";1990;477;104,9;1989
408;"Steve Coleman";"Segment";1;5;"as";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";240;"UP";"Bb-min";"4/4";"1988-03-01";"Parker";"A8A8B8A8";"";"ECM";1988;983;163,5;1988
409;"Steve Coleman";"Slipped again";1;3;"as";"POSTBOP";"BLUES";"ORIGINAL";"SWING";131,6;"MEDIUM";"F-maj";"4/4";"1991-04-29";"Thad Jones";"A12";"Blues";"Novus";1992;262;65,3;1991
410;"Steve Coleman";"Take the Coltrane";1;14;"as";"POSTBOP";"BLUES";"ORIGINAL";"SWING";240;"UP";"F-maj";"4/4";"1988-03-01";"Duke Ellington";"A12";"Blues";"ECM Records";1988;1004;169,9;1988
411;"Steve Coleman";"The Oracle";1;1;"as";"POSTBOP";"FREE";"ORIGINAL";"LATIN";97,7;"MEDIUM SLOW";"Bb-min";"3/4";"1989-09-01";"Dave Holland";"open";"";"ECM";1990;551;174;1989
412;"Steve Coleman";"The Oracle";2;3;"as";"POSTBOP";"FREE";"ORIGINAL";"LATIN";104;"MEDIUM SLOW";"Bb-min";"3/4";"1989-09-01";"Dave Holland";"open";"";"ECM";1990;764;174,7;1989
413;"Steve Lacy";"Alone Together";1;1;"ss";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";134,9;"MEDIUM";"D-maj";"4/4";"1957-11-01";"";"A14A14B8A8";"";"Giants of Jazz";1995;204;78,7;1957
414;"Steve Lacy";"Ask Me Now";1;1;"ss";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";85,4;"MEDIUM SLOW";"Db-maj";"4/4";"1958-10-17";"Thelonious Monk";"A8A8B8A8";"";"Original Jazz Classics/Prestige New Jazz";1990;189;89;1958
415;"Steve Lacy";"Easy to Love";1;4;"ss";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";166,3;"MEDIUM UP";"G-maj";"4/4";"1957-11-01";"Cole Porter";"A16A16";"";"Giants of Jazz";1995;697;187,7;1957
416;"Steve Lacy";"Let's Cool One";1;2;"ss";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";132,2;"MEDIUM";"Eb-maj";"4/4";"1961-11-14";"Thelonious Monk";"A8A8B8A8";"";"Giants of Jazz";1995;352;115,2;1961
417;"Steve Lacy";"Skippy";1;3;"ss";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";266,8;"UP";"Ab-maj";"4/4";"1958-10-17";"Thelonious Monk";"A16B16";"";"Original Jazz Classics/Prestige New Jazz";1990;582;86,6;1958
418;"Steve Lacy";"Work";1;2;"ss";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";165,9;"MEDIUM UP";"";"4/4";"1957-11-01";"Thelonious Monk";"A8A8B8";"";"Giants of Jazz";1995;308;92,8;1957
419;"Steve Turre";"Dat Dere";1;3;"tb";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";116;"MEDIUM";"C-min";"4/4";"1987-06-24";"O. Brown Jr./B. Timmons";"A8A8B8A8";"";"32 Jazz";1998;520;131,7;1987
420;"Steve Turre";"If I Were a Bell";1;2;"tb";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";257,1;"UP";"F-maj";"4/4";"1987-06-24";"F. Loesser";"A16B16";"";"32 Jazz";1998;307;59,4;1987
421;"Steve Turre";"Steve's Blues";1;4;"tb";"POSTBOP";"BLUES";"ORIGINAL";"SWING";204,3;"UP";"F-maj";"4/4";"1987-06-24";"S. Turre";"A12";"Blues";"32 Jazz";1998;269;57,6;1987
422;"Von Freeman";"Pass It On";1;3;"ts";"FUSION";"MODAL";"ORIGINAL";"FUNK";105,9;"MEDIUM SLOW";"C-min";"4/4";"1991-04-29";"Dave Holland";"A4A4B4A8";"";"Novus";1992;461;103,4;1991
423;"Warne Marsh";"Crosscurrent";1;1;"ts";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";258,2;"UP";"F-maj";"4/4";"1949-03-04";"Lennie Tristano";"A8B8C8A8";"";"Membran Musc Ltd.";2005;196;29,4;1949
424;"Warne Marsh";"Tautology";1;2;"ts";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";269,9;"UP";"F-maj";"4/4";"1949-09-27";"Lee Konitz";"A8B8C8A8";"";"Quadromania";2005;370;56,5;1949
425;"Warne Marsh";"Wow";1;1;"ts";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";175,1;"MEDIUM UP";"F-maj";"4/4";"1949-03-04";"";"A8B8A8B8";"";"Membran Music Ltd.";2005;109;22;1949
426;"Wayne Shorter";"Adam's Apple";1;4;"ts";"POSTBOP";"COLOR";"ORIGINAL";"LATIN";174,4;"MEDIUM UP";"Ab-mix";"4/4";"1966-02-24";"Wayne Shorter";"A16B8";"";"Blue Note";1987;351;131,9;1966
427;"Wayne Shorter";"Dolores";1;3;"ts";"POSTBOP";"COLOR";"ORIGINAL";"SWING";277,4;"UP";"Db-chrom";"4/4";"24-25.10.1966";"Shorter";"A8B6A8";"";"Columbia";1967;418;73;1966
428;"Wayne Shorter";"Down Under";1;2;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";147,1;"MEDIUM UP";"F#-min";"4/4";"1961-10-02";"Freddie Hubbard";"A12";"Blues";"Blue Note";1997;273;46,4;1961
429;"Wayne Shorter";"E.S.P.";1;2;"ts";"POSTBOP";"COLOR";"ORIGINAL";"SWING";284,5;"UP";"F-maj";"4/4";"September 1964?";"Shorter/Davis";"A16A16";"";"Columbia";1991;360;54;1964
430;"Wayne Shorter";"Eighty-One";1;5;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";138,4;"MEDIUM";"F-maj";"4/4";"September 1964?";"Carter/Davis";"A12";"Blues";"Columbia";1991;375;102,3;1964
431;"Wayne Shorter";"Footprints";1;4;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";136,1;"MEDIUM";"C-min";"6/4";"1966-02-24";"Wayne Shorter";"A12";"Blues";"Blue Note";1987;440;127,4;1966
432;"Wayne Shorter";"Infant Eyes";1;1;"ts";"POSTBOP";"COLOR";"ORIGINAL";"BALLAD";51,3;"SLOW";"Eb-chrom";"4/4";"1964-12-24";"Shorter";"A9B9A9";"";"Blue Note";1988;157;126,7;1964
433;"Wayne Shorter";"Juju";1;7;"ts";"POSTBOP";"COLOR";"ORIGINAL";"LATIN";178,2;"MEDIUM UP";"B-chrom";"3/4";"1964-08-03";"Wayne Shorter";"A24";"";"Blue Note";1988;730;170;1964
434;"Wayne Shorter";"Orbits";1;1;"ts";"POSTBOP";"COLOR";"ORIGINAL";"SWING";267,1;"UP";"";"4/4";"24-25.10.1966";"Shorter";"open";"";"Columbia";1967;259;63,7;1966
435;"Wayne Shorter";"Speak No Evil";1;2;"ts";"POSTBOP";"COLOR";"ORIGINAL";"SWING";142,7;"MEDIUM UP";"C-min";"4/4";"1964-12-24";"Wayne Shorter";"A14A14B8A14";"";"Blue Note";1988;452;167,5;1964
436;"Woody Shaw";"Dat Dere";1;2;"tp";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";114,7;"MEDIUM";"C-min";"4/4";"1987-06-24";"O. Brown Jr./B. Timmons";"A8A8B8A8";"";"32 Jazz";1998;406;134,8;1987
437;"Woody Shaw";"If I Were a Bell";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";252,3;"UP";"F-maj";"4/4";"1987-06-24";"F. Loesser";"A16B16";"";"32 Jazz";1998;306;60,9;1987
438;"Woody Shaw";"Imagination";1;1;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"LATIN";60,1;"SLOW";"Eb-maj";"4/4";"1987-06-24";"J. VanHuesen/J. Burke";"A8A8B8A14";"";"32 Jazz";1998;349;154,8;1987
439;"Woody Shaw";"In a Capricornian Way";1;3;"cor";"POSTBOP";"COLOR";"ORIGINAL";"SWING";171,8;"MEDIUM UP";"";"3/4";"05.&06.08.1978";"Woody Shaw";"A16A16B20";"";"Columbia";1978;864;178,1;1978
440;"Woody Shaw";"Rahsaan's Run";1;6;"tp";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";297,8;"UP";"G-min";"4/4";"1977-12-19";"Woody Shaw";"A24";"";"Columbia (Legacy)";1998;347;57,9;1977
441;"Woody Shaw";"Rosewood";1;1;"tp";"POSTBOP";"COLOR";"ORIGINAL";"LATIN/FUNK";171,7;"MEDIUM UP";"";"4/4";"1977-12-15";"Woody Shaw";"A16B20A16B16";"";"Columbia (Legacy)";1998;465;95,8;1977
442;"Woody Shaw";"Stepping Stone";1;1;"cor";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";266,2;"UP";"F-maj";"4/4";"05.&06.08.1978";"Woody Shaw";"A16B16";"";"Columbia";1978;160;29,4;1978
443;"Woody Shaw";"Steve's Blues";1;5;"tp";"POSTBOP";"BLUES";"ORIGINAL";"SWING";205,5;"UP";"F-maj";"4/4";"1987-06-24";"S. Turre";"A12";"Blues";"32 Jazz";1998;296;69,6;1987
444;"Wynton Marsalis";"April in Paris";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";153,7;"MEDIUM UP";"C-maj";"4/4";"29.-30.5.1986, 24.-25.9.1986";"Vernon Duke, Yip Harburg";"A8B8C8D8";"";"CBS/Columbia";1987;495;104,9;1986
445;"Wynton Marsalis";"Caravan";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";196,6;"UP";"C-maj";"4/4";"29.-30.5.1986, 24.-25.9.1986";"Juan Tizol";"A8A8B8A8";"";"CBS/Columbia";1987;526;156,6;1986
446;"Wynton Marsalis";"Cherokee";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";338;"UP";"Bb-maj";"4/4";"29.-30.5.1986, 24.-25.9.1986";"Ray Noble";"A16A16B16A16";"";"CBS/Columbia";1987;679;92,6;1986
447;"Wynton Marsalis";"Cherokee II";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";340,3;"UP";"Bb-maj";"4/4";"29.-30.5.1986, 24.-25.9.1986";"Ray Noble";"A16A16B16A16";"";"CBS/Columbia";1987;655;90,4;1986
448;"Wynton Marsalis";"Johnny Come Lately";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";245,4;"UP";"G-min";"4/4";"03.-08.09.1991";"Duke Ellington";"A8A8B8A8";"";"Verve";1992;292;63,3;1991
449;"Wynton Marsalis";"U.M.M.G.";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";221,3;"UP";"Db-maj";"4/4";"03.-08.09.1991";"Billy Strayhorn";"A8A8B8A8";"";"Verve";1992;261;70;1991
450;"Wynton Marsalis";"You're My Everything";1;1;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";137,6;"MEDIUM";"B-maj";"4/4";"1990";"Mort Dixon, Harry Warren, Joe Young";"A16B16";"";"CBS/Columbia";1990;162;58,2;1990
451;"Zoot Sims";"All the Things You Are";1;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";192,2;"UP";"Ab-maj";"4/4";"1950-04-23";"J. Kern, O. Hammerstein";"A8B8C8D12";"";"Membran Music Ltd.";2005;176;46,4;1950
452;"Zoot Sims";"Dancing in the Dark";1;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";124,7;"MEDIUM";"Ab-maj";"4/4";"1950-09-16";"Dietz/Schwartz";"A16B16";"";"Membran Music Ltd.";2005;110;62,6;1950
453;"Zoot Sims";"Dancing in the Dark";2;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";122,1;"MEDIUM";"Ab-maj";"4/4";"1950-09-16";"Dietz/Schwartz";"A16B16";"";"Membran Music Ltd.";2005;169;73,4;1950
454;"Zoot Sims";"King David";1;1;"ts";"COOL";"BLUES";"ORIGINAL";"SWING";151,1;"MEDIUM UP";"Bb-maj";"4/4";"1950-06-08";"Roy Eldridge";"A12";"Blues";"Membran Music Ltd.";2005;103;31,6;1950
455;"Zoot Sims";"Night and Day";1;2;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";216,7;"UP";"D-maj";"4/4";"1950-06-16";"C. Porter";"A8B8A8B8C8B8";"";"Membran Music Ltd.";2005;359;89,6;1950
456;"Zoot Sims";"Night and Day";2;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";217,6;"UP";"D-maj";"4/4";"1950-06-16";"C. Porter";"A8B8A8B8C8B8";"";"Membran Music Ltd.";2005;219;60,9;1950
